date,Mexico,Brazil,South Africa,Japan,Australia,Canada,UK,Hong Kong,India,South Korea,Norway,Sweden,Singapore,Switzerland,New Zealand
2025-01-03,0.0001649215674547232,-0.0014305733158168732,-8.702277871627818e-05,-0.0005157005112486785,0.0016321374118159228,-6.079713407084598e-05,0.0006403678470965112,1.0811390890550746e-06,0.0001929447040144935,-0.0016235334084727091,0.0011747361745660823,0.0007607166824913957,2.1629317441864755e-05,0.000437835859174903,-6.639358411566694e-05
2025-01-06,0.002007422078261259,0.0024578650411396664,5.384539245803217e-05,-0.00017711245208262472,0.0001363675336401097,-0.0002921409766725584,8.057427269636548e-06,3.2962644903352936e-05,-0.0006216595981413844,0.003027629429589966,0.0010136875714877474,0.0008993124582341452,-5.737976153595391e-05,0.0004369413224516522,-0.0008477660000955562
2025-01-07,0.0018476667996983867,0.0027344240338553747,-0.0005420068419649098,-0.00034675520638919075,-0.0010832063673450812,-0.0012756119956436021,-7.398564379910844e-06,2.7972443470224497e-05,-0.0005407002201875678,0.004378957225609509,0.00023237217306419872,0.0014061943538149627,0.00012727959249668648,0.0008133357736085634,-0.0005744651996891173
2025-01-08,0.0002739372358290977,-0.0017578466473529971,-0.0005096853026268471,0.0003221522270051555,-0.0009723928978156576,-0.0003033047819781185,-1.2804322077796368e-06,2.0996220974269712e-05,-0.0004726028289496102,0.002563588405867095,0.0009153784227624586,0.0011838555061902613,-0.000554602697068594,0.0008304836558406578,-0.00043523267836118837
2025-01-09,0.0006402209416685264,5.757518389117903e-05,0.00014825922688900788,1.4421804390034946e-05,-0.0009589612466720966,-0.0002706091129780954,0.00017538985470317477,5.7787302690705414e-05,0.0002450223919632702,0.0005678101261050362,0.0005598766530665027,0.001236899053103233,0.00015148535585236204,0.0008036868347195227,-0.00039644666016980755
2025-01-10,-0.00010568570667772085,-0.0011126389402287592,-0.00024082047670811075,-0.0003158618582554191,-0.0012775252069715446,-0.0008512444962134359,-0.002413857505777211,-5.25937987042266e-05,0.00018380388815825358,0.0043880512837040945,0.003741074479171993,0.003259249308934568,3.905138041140285e-06,0.0009987507583528476,-0.00019991732661818086
2025-01-13,0.000543478589395973,9.229446890904596e-05,-0.0011380463281156661,0.0007193811749136366,0.0017397130689332297,-0.00043538953263144275,-0.0005336603224487702,-4.6691108154695124e-05,9.610357683871748e-05,-0.00031753613366491317,0.0016146095918530344,0.0015718642118431995,0.00016100825377584084,0.0006493059304909629,-0.00022387693178210484
2025-01-14,0.0002117450602953779,7.715524836805188e-05,-0.0009574515146197241,-0.0002278797524447453,-0.0008531878782008095,-0.0003250368806495713,0.00010328416399768061,-3.529228621644923e-05,9.220538318815501e-05,0.0006845401742650214,0.0019853879599085484,0.0011223404900456322,0.0001165541502291578,0.00042810831048354405,-0.00024622556856789294
2025-01-15,0.001352970771047729,0.0031140651389033537,0.0008972394644916484,-0.0006081237605982373,0.0009508782260369097,0.000757666667653126,0.0007850493370606372,-6.467453992375888e-05,-2.7999072048203802e-05,-0.0030440106341124767,0.00166494963732868,0.0005014650565902801,-0.0014598968354912567,-0.00016638771150228126,0.0024952554008130434
2025-01-16,-9.49569491113555e-05,-0.0015942051570264257,-0.00032439692731964004,-0.001268212110547922,-0.0005773967779038078,-0.00019320924100563116,0.000422152877091801,-0.00011889832301681243,3.2058341381687124e-05,0.0011566697440624615,0.0005588504373796255,0.0008612969831485082,-7.967781706218375e-06,0.0006111570820608926,-0.0007614867319784267
2025-01-17,0.00028878999906731603,0.0003578171816630463,-0.0007176033838429821,-0.0004825178632717763,0.0007681319734745099,0.00020513656822906558,0.00011661117918774456,-6.980350130379537e-05,-1.6757780149151466e-05,-0.0024232017785733796,6.415940714716558e-05,0.00033424036052919523,-0.00014487348280432962,0.0008652195403760182,0.0016018744763977072
2025-01-22,0.0008264352606641839,-0.0003657392045402988,4.290441617985364e-05,-0.00012578061970643185,0.00017484537142168364,-6.746617134782802e-05,4.8260677147372966e-05,4.603940280422826e-05,-9.797215970691723e-07,-0.0018831173444409503,0.00014634092145479204,-9.567298024631828e-05,5.863595576943181e-05,2.8667383770615227e-05,0.00030203963564711045
