date,Mexico,Brazil,South Africa,Japan,Australia,Canada,UK,Hong Kong,India,South Korea,Norway,Sweden,Singapore,Switzerland,New Zealand
2025-01-03,0.7606112054329373,0.2852292020373514,0.6859083191850595,0.7300509337860781,0.21052631578947367,0.8726655348047538,0.3123938879456707,0.601018675721562,0.28183361629881176,0.40407470288624786,0.34634974533106977,0.6281833616298811,0.8149405772495756,0.5365025466893039,0.7436332767402378
2025-01-06,0.08488964346349737,0.1969439728353144,0.5297113752122242,0.9949066213921901,0.8081494057724958,0.631578947368421,0.8455008488964346,0.9371816638370118,0.08149405772495755,0.10526315789473695,0.41086587436332755,0.5195246179966047,0.6247877758913413,0.5365025466893039,0.15619694397283532
2025-01-07,0.11205432937181681,0.14601018675721567,0.696095076400679,0.8726655348047538,0.31239388794567063,0.10186757215619695,0.8658743633276742,0.9711375212224108,0.09847198641765705,0.03395585738539886,0.8964346349745331,0.27843803056027183,0.5704584040747032,0.2614601018675722,0.45840407470288624
2025-01-08,0.6587436332767402,0.24787775891341254,0.7368421052631579,0.6146010186757216,0.3870967741935484,0.5942275042444822,0.8590831918505943,0.8760611205432938,0.10526315789473684,0.17657045840407481,0.47198641765704585,0.34295415959252984,0.19015280135823429,0.25806451612903225,0.7504244482173175
2025-01-09,0.43463497453310707,0.8183361629881154,0.4516129032258065,0.8455008488964346,0.3972835314091681,0.6587436332767402,0.6179966044142615,0.3157894736842106,0.23429541595925318,0.6893039049235994,0.7809847198641766,0.31918505942275055,0.4685908319185059,0.27164685908319197,0.8047538200339558
2025-01-10,0.9745331069609509,0.3531409168081494,0.8726655348047538,0.8930390492359932,0.18675721561969438,0.18675721561969438,0.04753820033955857,0.35653650254668934,0.29202037351443133,0.03395585738539886,0.03735144312393879,0.00679117147707986,0.7809847198641765,0.13921901528013603,0.8522920203735145
2025-01-13,0.4855687606112056,0.801358234295416,0.10186757215619695,0.3293718166383701,0.17317487266553488,0.40067911714770793,0.40067911714770793,0.366723259762309,0.37351443123938877,0.8013582342954159,0.21731748726655353,0.22071307300509346,0.43463497453310707,0.3667232597623089,0.8896434634974535
2025-01-14,0.7232597623089985,0.8081494057724958,0.22750424448217316,0.964346349745331,0.47877758913412566,0.5500848896434635,0.6519524617996606,0.3938879456706282,0.3769100169779287,0.5942275042444822,0.16638370118845502,0.3599320882852295,0.6112054329371819,0.5466893039049237,0.9134125636672326
2025-01-15,0.2037351443123938,0.09507640067911716,0.1629881154499151,0.6417657045840407,0.5534804753820035,0.28183361629881176,0.22071307300509346,0.33276740237691,0.835314091680815,0.08488964346349745,0.2037351443123938,0.8692699490662141,0.06451612903225806,0.8726655348047538,0.10186757215619702
2025-01-16,0.967741935483871,0.2614601018675721,0.99830220713073,0.13242784380305603,0.7470288624787775,0.8421052631578947,0.44821731748726656,0.1969439728353141,0.5568760611205434,0.48217317487266564,0.7809847198641766,0.5636672325976233,0.7504244482173175,0.3769100169779287,0.19015280135823429
2025-01-17,0.6417657045840408,0.5840407470288624,0.47538200339558573,0.7606112054329371,0.6112054329371819,0.5500848896434636,0.631578947368421,0.3191850594227504,0.7606112054329373,0.1969439728353141,0.7640067911714771,0.967741935483871,0.465195246179966,0.2241086587436334,0.2139219015280136
2025-01-22,0.3633276740237692,0.5874363327674024,0.5365025466893039,0.9609507640067911,0.7877758913412565,0.8794567062818337,0.733446519524618,0.6247877758913412,0.6960950764006792,0.3157894736842105,0.8183361629881154,0.6112054329371817,0.9711375212224109,0.9202037351443124,0.5398981324278438
2025-01-23,0.7877758913412564,0.9371816638370118,0.7266553480475384,0.2852292020373514,0.4550084889643464,0.8692699490662141,0.7436332767402376,0.19015280135823454,0.9168081494057725,0.5229202037351443,0.7470288624787775,0.8624787775891343,0.5534804753820034,0.9371816638370118,0.7470288624787775
2025-01-24,0.9235993208828523,0.5466893039049235,0.2546689303904923,0.050933786078098474,0.6010186757215621,0.8556876061120544,0.3837011884550085,0.7775891341256366,0.8522920203735144,0.19354838709677447,0.7368421052631579,0.9949066213921902,0.5636672325976233,0.99830220713073,0.5738539898132426
2025-01-27,0.8760611205432938,0.02716468590831944,0.9813242784380306,0.8387096774193548,0.2784380305602716,0.08828522920203735,0.6723259762308998,0.838709677419355,0.66893039049236,0.03395585738539886,0.8387096774193548,0.5806451612903225,0.3395585738539899,0.21731748726655353,0.9405772495755518
2025-01-28,0.6859083191850595,0.41426146010186754,0.8590831918505943,0.9609507640067911,0.9745331069609509,0.8522920203735144,0.930390492359932,0.5297113752122242,0.20033955857385397,0.42784380305602715,0.8081494057724957,0.5568760611205432,0.4957555178268251,0.23769100169779311,0.09507640067911716
2025-01-29,0.8862478777589133,0.8115449915110357,0.99830220713073,0.30220713073005095,0.47538200339558573,0.7266553480475382,0.23769100169779286,0.9745331069609509,0.1494057724957555,0.5840407470288624,0.49575551782682514,0.7300509337860781,0.38370118845500856,0.2410865874363326,0.9337860780984719
2025-01-30,0.4991511035653651,0.02716468590831944,0.05432937181663837,0.438030560271647,0.7164685908319184,0.5365025466893039,0.3123938879456707,0.2886247877758914,0.6044142614601019,0.6689303904923599,0.6519524617996606,0.47877758913412566,0.9202037351443124,0.3022071307300509,0.24108658743633274
2025-01-31,0.35653650254668934,0.37011884550084884,0.010186757215619693,0.07470288624787776,0.7164685908319184,0.2852292020373514,0.21731748726655348,0.5432937181663837,0.15280135823429541,0.7741935483870968,0.5195246179966047,0.8455008488964346,0.19015280135823429,0.11544991511035674,0.7028862478777589
2025-02-03,0.8896434634974533,0.7062818336162988,0.4855687606112056,0.7232597623089982,0.5466893039049237,0.28862478777589134,0.1494057724957555,0.05093378607809851,0.9711375212224108,0.5025466893039049,0.4278438030560272,0.7572156196943972,0.9779286926994906,0.11544991511035674,0.9813242784380306
2025-02-04,0.24787775891341246,0.41765704584040747,0.25806451612903225,0.964346349745331,0.43123938879456714,0.634974533106961,0.7436332767402378,0.1392190152801358,0.4244482173174873,0.22410865874363328,0.6893039049235994,0.5568760611205432,0.7877758913412564,0.25806451612903225,0.23429541595925318
2025-02-05,0.9202037351443124,0.9405772495755518,0.8998302207130731,0.5738539898132426,0.8353140916808149,0.9541595925297114,0.26825127334465204,0.6893039049235994,0.7572156196943973,0.6621392190152801,0.3361629881154499,0.7232597623089982,0.797962648556876,0.23769100169779311,0.1392190152801358
2025-02-06,0.0882852292020373,0.7775891341256367,0.6926994906621393,0.040747028862478774,0.9507640067911715,0.47538200339558573,0.3259762308998302,0.30560271646859083,0.35314091680814963,0.9847198641765704,0.2784380305602716,0.3870967741935485,0.601018675721562,0.21731748726655353,0.09507640067911714
2025-02-07,0.8624787775891343,0.1765704584040747,0.903225806451613,0.08488964346349745,0.3837011884550085,0.25127334465195245,0.24108658743633274,0.24787775891341254,0.6723259762308998,0.4923599320882852,0.3191850594227504,0.6791171477079798,0.4855687606112054,0.2512733446519524,0.7945670628183362
2025-02-10,0.7809847198641766,0.5365025466893039,0.4787775891341257,0.9439728353140917,0.8319185059422751,0.9303904923599322,0.43123938879456714,0.1765704584040747,0.4244482173174873,0.5568760611205432,0.2920203735144312,0.9337860780984719,0.6078098471986417,0.21731748726655353,0.6519524617996606
2025-02-11,0.4685908319185059,0.8590831918505943,0.29202037351443133,0.699490662139219,0.5161290322580645,0.5704584040747028,0.9134125636672326,0.3191850594227504,0.9303904923599322,0.5297113752122242,0.9711375212224108,0.9439728353140916,0.6519524617996606,0.02716468590831944,0.6112054329371817
2025-02-12,0.4923599320882852,0.21731748726655348,0.44821731748726656,0.3769100169779287,0.2920203735144312,0.3531409168081494,0.9881154499151104,0.044142614601018676,0.8590831918505943,0.40407470288624814,0.45840407470288624,0.7877758913412565,0.6281833616298811,0.46179966044142606,0.5908319185059423
2025-02-13,0.8183361629881154,0.5500848896434635,0.6451612903225806,0.3361629881154499,0.6383701188455009,0.7572156196943973,0.4923599320882852,0.8183361629881154,0.8081494057724958,0.35653650254668934,0.08488964346349745,0.6757215619694399,0.4957555178268251,0.01697792869269965,0.4414261460101869
2025-02-14,0.11544991511035653,0.02716468590831944,0.27164685908319197,0.5908319185059423,0.8081494057724957,0.8421052631578947,0.631578947368421,0.12903225806451613,0.499151103565365,0.6655348047538201,0.5466893039049235,0.7096774193548387,0.6213921901528012,0.1969439728353144,0.43463497453310695
2025-02-19,0.40407470288624786,0.3259762308998302,0.3191850594227504,0.8455008488964346,0.4685908319185059,0.7266553480475384,0.5976230899830222,0.9711375212224108,0.26485568760611206,0.15619694397283546,0.8217317487266553,0.04753820033955857,0.9371816638370118,0.01018675721561979,0.28183361629881154
2025-02-20,0.37011884550084884,0.903225806451613,0.8896434634974535,0.8726655348047538,0.11205432937181681,0.733446519524618,0.4550084889643463,0.9371816638370118,0.28183361629881154,0.7232597623089985,0.8964346349745331,0.5263157894736843,0.5704584040747032,0.12224108658743638,0.5025466893039049
2025-02-21,0.07130730050933785,0.5161290322580647,0.43463497453310707,0.5229202037351443,0.66553480475382,0.7130730050933787,0.8217317487266552,0.1969439728353141,0.1494057724957555,0.01018675721561979,0.06451612903225823,0.4278438030560272,0.12224108658743638,0.23769100169779311,0.964346349745331
2025-02-24,0.5093378607809848,0.20033955857385397,0.4108658743633276,0.2037351443123939,0.631578947368421,0.607809847198642,0.2784380305602716,0.9371816638370118,0.696095076400679,0.5500848896434636,0.37351443123938877,0.835314091680815,0.12224108658743638,0.13242784380305617,0.7436332767402378
2025-02-25,0.20713073005093377,0.4855687606112056,0.9847198641765704,0.3667232597623089,0.6859083191850595,0.8149405772495756,0.1935483870967742,0.21052631578947367,0.7130730050933787,0.5263157894736843,0.3293718166383701,0.6112054329371819,0.12224108658743638,0.13242784380305617,0.7266553480475384
2025-02-26,0.8692699490662139,0.3463497453310696,0.5670628183361629,0.4991511035653651,0.7877758913412564,0.6553480475382003,0.6825127334465195,0.20033955857385397,0.9032258064516128,0.5263157894736843,0.9134125636672326,0.3870967741935485,0.11544991511035674,0.15280135823429553,0.7436332767402378
2025-02-27,0.1426146010186757,0.5195246179966047,0.7028862478777589,0.7232597623089982,0.1494057724957555,0.057724957555178265,0.09507640067911714,0.9745331069609509,0.21731748726655348,0.03395585738539886,0.8047538200339559,0.19015280135823454,0.03056027164685937,0.13242784380305617,0.07130730050933785
2025-02-28,0.44482173174872663,0.25806451612903225,0.3293718166383701,0.09168081494057723,0.27843803056027183,0.5365025466893039,0.27164685908319197,0.862478777589134,0.06451612903225806,0.31239388794567063,0.3938879456706282,0.020373514431239387,0.06451612903225806,0.15280135823429553,0.29541595925297126
