date,Australia,Brazil,Canada,Hong Kong,India,Japan,Mexico,New Zealand,Norway,Singapore,South Africa,South Korea,Sweden,Switzerland,UK
2022-03-21,0.74115,0.20165,0.79435,,,0.0084005,0.04834,0.68955,0.11443,,0.0665,0.0008218,0.10585,1.0773,1.3183
2022-03-22,0.7403,0.2029,0.79565,,,0.008327,0.04857,0.6874,0.11412,,0.0667,0.0008219,0.10594,1.0764,1.3244
2022-03-23,0.74665,0.20595,0.79565,,,0.008275,0.04872,0.6949,0.11491,,0.06715,,0.10609,1.0775,1.3197
2022-03-24,0.74825,0.20655,0.798,,,0.008252,0.04909,0.6953,0.11551,,0.06805,0.0008175,0.10645,1.078,1.3184
2022-03-25,0.7532,0.21035,0.80205,,,0.00823,,0.69605,0.11594,,0.067875,,0.10645,1.0781,1.3183
2022-03-27,,0.21025,0.8008,,,,0.04924,,0.1158,,0.0679,,0.10623,1.0774,1.3171
2022-03-28,0.75305,0.20925,0.7982,,,0.008133,0.04904,0.69415,0.11435,,0.0673,,0.10521,1.0736,1.3088
2022-03-29,0.74905,0.21,0.80015,,,0.008108,0.04943,0.68895,0.11546,,0.06815,,0.10766,1.0775,1.3136
2022-03-30,0.7534,0.2089,0.8013,,,0.0082125,0.04967,0.6948,0.11651,,0.068525,,0.1082,1.0864,1.3159
2022-03-31,0.74905,0.20845,0.8,,,0.008212,0.04969,0.69455,0.11403,,0.06785,0.0008233,0.10722,1.0891,1.3139
2022-04-01,0.74865,0.2127,0.79885,,,0.008189,,0.6917,0.11389,,0.067675,,0.10705,1.0824,1.3104
2022-04-05,,0.21335,0.80055,,,,0.04945,,,,0.067325,,0.10627,1.0785,1.3073
2022-04-06,0.75795,0.2108,0.7978,,,0.008081,0.04903,0.69325,0.11415,,0.067675,0.0008209,0.10591,1.0747,1.3071
2022-04-07,0.74885,0.2098,0.79425,,,0.008101,0.04904,0.68865,0.11334,,0.067125,,0.1059,1.075,1.3057
2022-04-08,0.7487,0.21125,0.7953,,,0.0080795,0.04931,0.6879,0.11422,,0.067775,,0.10612,1.0737,1.3016
2022-04-10,,0.21155,0.7946,,,,0.04926,,,,,,0.106,1.0731,1.3027
2022-04-11,0.7455,0.21215,0.79135,,,0.008012,0.04966,0.6827,0.11352,,0.068025,0.0008104,0.10556,1.0771,1.3037
2022-04-12,0.74405,0.2129,0.79075,,,0.0079825,0.04994,0.68205,0.11435,,0.068525,0.0008117,0.10558,1.0782,1.3034
2022-04-13,0.74575,0.2124,0.7955,,,0.007976,0.05006,0.6815,0.11327,,0.0683,0.0008145,0.10543,1.0731,1.3058
2022-04-14,0.7463,0.21215,0.7924,,,0.0079845,0.04949,0.6816,0.11344,,0.06775,0.000813,0.105,1.0654,1.3057
2022-04-17,,0.2119,0.79245,,,,0.0496,,,,,,,1.0637,1.3055
2022-04-18,0.7363,0.21445,0.7924,,,0.0079065,0.04992,0.6721,0.11287,,0.067525,0.0008099,0.10438,1.0621,1.3021
2022-04-19,0.73775,0.21365,0.79205,,,0.0078155,0.04935,0.67315,0.11324,,0.066425,0.0008062,0.10481,1.0563,1.2998
2022-04-20,0.7431,0.2159,0.79985,,,0.0077835,0.04949,0.67575,0.11355,,0.066025,,0.10605,1.059,1.3047
2022-04-21,0.7451,0.2132,0.79475,,,0.0078125,0.04908,0.67785,0.11327,,0.0646,,0.10564,1.054,1.305
2022-04-22,0.7339,0.2077,0.7859,,,0.0078295,0.04894,0.669,0.112,,0.063725,0.0008027,0.10499,1.0462,1.2848
2022-04-24,,0.20735,0.7856,,,,0.04892,,,,0.063725,,0.10474,1.0485,1.2825
2022-04-25,0.71715,0.20475,0.7856,,,0.007794,0.04901,0.6591,0.10907,,0.06315,,0.1029,1.0458,1.2707
2022-04-26,0.7225,0.2001,0.78025,,,0.007825,0.04857,0.66395,0.10846,,0.0628,0.0007978,0.10218,1.0437,1.2623
2022-04-27,0.71815,0.20115,0.7799,,,0.0078415,0.04857,0.65665,0.107,,0.0623,0.0007898,0.10168,1.0336,1.2525
2022-04-28,0.7099,0.20215,0.7809,,,0.0077035,0.04851,0.6496,0.10632,,0.061925,0.0007842,0.10189,1.0322,1.2457
2022-04-29,0.7149,0.20035,0.77825,,,0.007676,0.04861,0.6504,0.10751,,0.062925,,0.10208,1.0295,1.2551
2022-05-01,,0.19975,0.778,,,,0.04857,,,,0.062925,,0.10182,1.02875,1.2576
2022-05-02,0.7047,0.1954,0.77635,,,0.0076755,0.04845,0.6429,0.10575,,0.0621,,0.10097,1.0243,1.2507
2022-05-03,0.71125,0.1997,0.77895,,,0.0076945,0.04892,0.6451,0.10653,,0.063,,0.10161,1.02505,1.2512
2022-05-04,0.7112,0.20235,0.78505,,,0.007694,0.0496,0.64365,0.10618,,0.0628,,0.10153,1.0201,1.2501
2022-05-05,0.7244,0.19775,0.779,,,0.00774,0.04908,0.6533,0.10554,,0.062325,,0.1005,1.01475,1.2342
2022-05-06,0.70985,0.19555,0.7756,,,0.0076605,0.04932,0.64195,0.10564,,0.062525,,0.10129,1.019,1.2366
2022-05-10,,0.194,0.7671,,,,0.04875,,,,0.061725,,0.09943,1.00535,1.2306
2022-05-11,0.69605,0.19325,0.76915,,,0.007679,0.04888,0.63055,,,0.061975,0.000785,0.10017,1.01075,1.2328
