date,AUD,CAD,CHF,GBP,HKD,INR,JPY,KRW,MXN,NOK,NZD,SEK,SGD,ZAR
2022-01-04,0.006274694511379052,0.004674292106634892,0.0002780331656082753,0.0055291460781119505,-0.000396140496322731,0.002468304641965158,-0.007174260845119789,0.001697526670766532,0.003070402008732427,-0.0040151546840043436,0.0030740081777407982,-0.003962304118224565,-0.0002414943963314946,-0.010721117947686931
2022-01-05,-0.0012101800259832225,-0.0020434012742059065,0.00360349223592105,-0.0007199178821764587,0.0001612911081903446,-0.0027622374891776045,-0.0007928135622056833,0.0017775646690259266,-0.0001883012076350772,-0.0019376640318774715,-0.0010210681556029346,-0.0003378125278213017,-0.004071386386149189,0.01010762914227521
2022-01-06,-0.015701467246415683,-0.00335588104122843,0.007841580844442952,-0.004696871756133564,0.0004899248004458098,0.0012043401078999795,-0.0008247849488680608,0.006817007509856423,-0.002331685762970208,0.011304077894896347,-0.01429273573056505,0.009139227038918509,0.004952988968117037,2.1297883585393203e-05
2022-01-07,-0.0001923301789480995,0.005193150375690802,0.004700253511619246,0.001244124920399534,-0.0002800018475882805,-0.0017727766242457215,-0.0002932864182223758,-0.0038995740819407366,-0.00047080139082221386,-0.0032069932951499748,0.0020275043763985376,-0.006423591829018388,-0.0015072548389001694,0.005452508570183017
2022-01-10,0.00023821084402594764,-0.0016693011526345517,0.005723141068148541,0.0007453011802475756,-0.0004983540284147311,-0.0032414302574822985,0.006153250473982743,-0.0016020130363684827,-0.001123789782821522,0.0010251027284559511,-0.0012026385698194544,0.0028878372049885564,-0.001433619711970846,-0.005436891408186177
2022-01-11,0.0021175869532728212,0.0055725305448847415,-0.007079948418366652,0.0027443828268718835,3.6174650484923626e-05,-0.0034757181357189634,-0.0031608338415636946,-0.004118803366760707,0.0033846875379254333,-0.00785023061724867,0.0012993537189629793,-0.004925556011842465,0.006234150378587162,0.009791469124244636
2022-01-12,0.006188646270621878,0.0054985188280993,0.0018874797463667476,0.0020243713720694938,-0.0005390874101742608,-0.00041586177535475805,0.002292334521293562,-0.006546056914973043,-0.004606101694388475,-0.009082925215473329,0.006036743967970965,-0.008217192445879944,0.00014049747612674156,0.005903491820536001
2022-01-13,0.00251593765962252,0.0012897843328521824,-0.007982299844423401,0.0015662130377401568,-0.0005984859651175097,0.002384410510384932,0.005815258990205616,0.00020443300469184602,-0.0002668763097759705,-0.000499244337989586,0.00454404470325848,-0.00357855277548567,-0.0012156942166577703,-0.0036200891297442604
2022-01-14,-0.009375339211036228,-0.0047639829404185294,0.004158635549231882,-0.002956255031300211,-0.00046574067079566323,0.0013044464823524886,0.0026515302317214676,-0.0010881744639811048,0.00291434746729688,0.007245445586890518,-0.008943439695466763,0.008988404708508693,-0.0003523749615618144,0.0012331340994152155
2022-01-19,0.0013697693080338405,0.0010371413209775498,0.0009522422418747515,-0.00019181756012043912,-8.065488544203166e-05,-0.00221095395912035,0.00013940290829412248,-0.003964634341035548,-0.007768739995023221,-0.0010369624140098726,-0.00019127035986844006,0.0003769162378149224,0.005355914154718878,0.006768448790361179
2022-01-20,0.0005785882945202022,0.0006345510767817,-0.00029507766355271357,-0.0024531255552336113,-0.0006405700141876878,-0.0007930998898095555,-0.0016777879475653734,0.0024591718961855086,-0.0017820755466075966,0.002529084551103841,-0.004891936765061666,0.004753324382954732,-0.004015675605591776,0.00614934633677736
2022-01-21,-0.007616533935175621,-0.005610046187815774,0.0023838315404208074,-0.004577204958153383,-8.330038387453065e-05,-0.0008817829409143204,0.004630885034708038,0.0013522706785711893,-0.0011219776670388366,0.01292292343249165,-0.00807064179237571,0.006082320681265749,-0.003094180288186154,0.004227618694232346
2022-01-24,-0.00440793785700083,-0.007163617755280557,-0.005869679502076776,-0.0014002348220893456,-0.00019833664583796,0.004991313840442172,0.006280295297774468,0.001494526465092034,-0.0022164548078438253,0.009010928468379755,0.0005065233238269427,0.009082554643120742,-0.0022844571710993024,-0.007295711589764241
2022-01-25,0.0021086040151695124,0.002574936078080862,0.009594524441878843,0.0012710463997754212,-8.382662642664957e-05,0.00014544353282143144,-0.002578326963443714,0.0021082636272095395,-0.00349846707270933,-0.005749753470548142,-0.00278306968178345,-0.0031872303888840826,-0.00033254481771600184,0.0009505008668469987
2022-01-26,0.0038654922561226312,0.0030866589353649217,0.0029319091589192154,0.001465120097224,-0.00015011353015700923,0.0016648468877133926,-0.0038387055285714453,-0.0012963518748761189,0.0010443398498253043,-0.009451781579743078,0.0025945798751306377,-0.0028113208297845752,-0.0038418494525337367,0.00527864939628976
2022-01-27,-0.004909129238801203,-0.0029760662866402717,0.006024152293899492,-0.00026586788535570144,0.0006201245699263872,0.0029941460791611143,-0.00045478249256704004,0.004395574211277334,0.004090834146113107,-0.0016484573564435907,-0.0027162903743213566,0.004104703313836427,-0.006129944618428241,-0.0026075349338092225
2022-01-28,-0.004648498487614596,-0.0025494235314504152,0.0008047084910698605,0.003887990203129719,0.00018515538587118816,-0.0027568289200684245,0.003914652825323857,0.00506673672770465,-0.002281512010638539,0.0006206845598512197,-0.003230236404146052,0.004259213937677308,0.0058341696215948565,-0.008565300074245242
2022-01-31,0.006218693226305629,0.003143246390474061,-0.0023582048642830085,-0.0007132456200395821,0.00046727298814241806,-0.005325899147361567,-0.002197276551441276,-0.002247976517067707,0.006802310345799686,-0.006026233081170701,0.0006440088384951533,-0.008829753663560385,3.9848240301914145e-05,0.010932197432690156
2022-02-01,-0.00024474721166509,-0.002709280345428911,0.0037672394099694567,-0.0001614009967915494,-0.00045115234950524193,0.0026979573249668433,-0.0008498775710188387,0.0017165326479357916,-0.002190045743275264,0.00499481223267037,-0.0002822023742863047,-0.0016149238252806102,-0.003598229868125992,-0.0005219710598609144
2022-02-02,0.004278401390428581,0.0009547926362502548,-0.0006390867257717613,0.006137615308341895,-3.438989527581636e-05,-0.000516926910156103,0.0054389260754353335,-0.0066509295620889135,0.00047084758566217494,-0.007648018002495984,0.0032629127111481046,-0.0015803614732841603,0.0013993334207319462,-0.00431986420154782
2022-02-03,0.005934601858854612,0.0024091550664575704,-0.00043936015752888997,0.005370917463220786,-0.00027186139649684304,-0.0012796379152320292,-0.001754087793078233,0.003670300295928049,0.004192471566447998,-0.016571770950934615,0.008834821355881114,-0.019807446626093572,-0.0005967036926125927,0.010863336367628464
2022-02-04,0.0011698293322668484,-0.0006667953784050291,0.0029461251099485043,0.004721358636609461,-0.0005837357318698256,-0.0024460791572472503,0.006114361265980973,-0.005698581227044313,0.0011279789159819673,-0.0053328429635207345,0.0024782841073542807,-0.006413531505907078,0.0013051723845188255,0.0018226596607231766
2022-02-07,0.004027776075377311,0.0047922541064069875,-0.006777775631733362,-0.0023375545285694564,0.0002964165530166423,0.0008788158190815034,-0.000245849074259098,-0.0010148117097770828,0.0016557724784516553,0.003671980162593477,0.0006801784654975706,0.0016753836834421541,-0.001285404870980729,-0.005457375425444104
2022-02-08,0.0010437105121040382,-0.002851491848737297,-0.004005164409058242,-9.471143869673208e-05,0.00021863762537645796,0.0003309949939551958,-0.005870051124958701,-0.0008434515717855988,-0.0014288466804748166,0.0041065090079165254,0.001254514981336184,0.0020031540430461856,-0.0012830363820588839,0.007977899073010986
2022-02-09,0.0034528831574637117,0.0010136892093766958,-0.006090286725851372,-0.003512970985397188,-0.0004285067630571655,0.0012423006212421504,-0.0008229738298759673,-0.0018045054555261824,0.0036341008430977356,0.0006510154876112487,0.0036883458033839522,-0.004664770563600203,0.0008591958516094561,0.0033411392874969116
2022-02-10,-0.0004692401938713904,-0.0020716457845270453,-0.0042008559735454,0.00023632678200329917,0.00026747863928055403,0.004061488918158899,-0.00995473673250552,-0.0005947399922619015,-0.004034993617595396,-0.0008313634365092505,-0.0026560454409083082,0.016658758350207865,0.0016019487215219342,0.0025491294502890446
2022-02-11,-0.00852807159823406,-0.0020135697589532997,0.00011061125012434592,-0.0018299957839194997,0.0005617995425590313,0.003298499385588462,0.00031067904846631593,0.0017494804262238014,0.0018182885183695293,0.00617795078040569,-0.006042445552427925,0.00625047141558952,0.0013596841775065124,-0.0026657609691548376
2022-02-14,-0.005887658070466688,-0.0037201247061206385,-0.0021304090947781196,-0.005376094932721107,0.000394252811414077,0.0035309216822748215,0.0027052878147403392,-0.0023530145405231706,0.0008528714749885017,0.00826363687468423,-0.009215804835855719,0.011874408491914656,0.0020382083196704,-0.000420200339032849
2022-02-15,0.0045770582460438755,-0.0002673245094054207,-0.0014878631822583639,0.0025725144033241893,-0.00022115732553135983,-0.006008675819645966,0.0017364023343250383,0.0027116130441448487,0.002547857172818614,-0.0008041529560435229,0.005512882388748683,-0.012922781292417387,-0.000738242368822744,0.003352667358577835
2022-02-16,0.0015940194429785188,0.003042761093481125,0.001149755039078281,0.0013734325502711637,-9.936986357003357e-05,-0.0022870765034464923,0.0002054968366433452,-0.0022711195013403497,0.00016065093891217807,-0.00048312434713002625,0.0016288342471309286,0.0021891664888306892,-0.003254628822373546,-0.0023851132577826038
2022-02-17,-0.0031432585718308846,-0.0029774623142776913,-0.0009222692202765473,-0.0007324574137924107,-0.00022913677340241802,6.3067418822549326e-06,-3.546859742514395e-05,-0.0005312737103640467,-0.0026506852899994488,0.008367251785652664,-0.00027248286378005193,0.008855673556525908,-0.0052877546927695245,0.00010859551297263438
2022-02-18,-0.0006309776208001205,-0.002993312677548894,-0.003030921972708794,-0.0010702648492150117,3.907508895146666e-06,-0.005603891353865183,0.0015143267822898317,-0.0018932024703585298,0.0008944191384521478,0.006683021176179141,0.0015813155125045755,0.004727737862979357,0.007513264019640184,-0.007143501104998547
2022-02-23,0.0005163750138160797,0.0005046521134517161,0.0019166870781767281,-0.004639020181238477,0.0004245918381226242,-0.000730354420462999,-0.002888586435258672,0.0007762388444231635,-3.403627401094098e-05,0.0007072232956131775,0.0027593214802025495,0.006219651482681928,0.001122959722520251,-0.0061081334760550955
2022-02-24,-0.00581619834922701,-0.004995088432655403,0.0032847836144208413,-0.00701966839425564,0.0001985374526172985,0.012493507514066533,0.004639857666942257,0.007437264452724376,-0.01202869805142484,0.00881557279177523,-0.009578418055530861,0.015067505791744963,-0.001830137361885754,-0.010125119522212135
2022-02-25,0.008432102398910978,0.0062128534916850876,-0.0038642209346419873,0.0009737707302862387,8.655063987362731e-05,-0.006834294213687165,-0.0037684730021217178,-0.0007379555752057693,0.008229710681251957,-0.016922829270019184,0.00959866958971195,-0.013961450629173772,0.0024372232280767325,0.010656610658256752
2022-02-28,0.003355811127900325,0.004926417532581826,-0.0012310133222193508,-0.0010179927550025654,0.0005428935793419447,0.005321104510271301,0.0027407982471805677,-7.852540436780017e-05,-0.0016372893798723802,-0.0030526742001785474,0.0027487344339063935,0.004205414594125448,-0.0003146022138746659,-0.015938711550890643
2022-03-01,-0.004245093349997059,-0.00485664167623917,-0.0016445449351980474,-0.009365747528124573,0.00037511207824496436,0.003963413821683208,0.0005029208720764308,0.001344053443481975,-0.010715580420564044,0.009299379948080944,-0.0048180179944706915,0.021765801808365508,0.0031306798525228023,-0.004175698647180057
2022-03-02,0.0024293844177809224,0.003046242457073583,-0.0015008339551946669,0.001870695139627503,-0.0005986188170265276,-0.0023973944004269223,-0.007678686516790519,0.0006723830888150058,-0.003908813409730414,0.000499744279997579,0.001144000683729893,0.005293606144144739,-0.0036732110556238345,0.005347125986837231
2022-03-03,0.0011307670310771348,-0.0030157190942836226,-0.0033307317556324906,-0.005438462280936294,0.0002254048599911368,0.004427002020399126,-0.0029711797845065795,-0.0014135607428790006,-0.007455302539287499,0.007544372528640045,-0.002337121024217836,0.01081520293869816,0.0016069578593892098,0.0007488755350414421
2022-03-04,0.0030388116293477182,-0.008267319819577545,0.0024830522055888484,-0.010939981077454312,-0.00023616400326936538,0.0063729667755543324,0.006593817889486636,0.007352227207323534,-0.0134964576788738,0.008161741629037222,0.00619244924468183,0.011815904042630658,-0.002288733109437019,-0.016224335522671388
2022-03-07,-0.0066005588077675415,-0.0014116623714830784,-0.0014133775766199765,-0.008233452475467098,0.0004559368921728137,0.006293873308687022,-0.007122026811525496,0.01038760094698387,-0.015222320933750652,0.009574204125397005,-0.004412827691833917,0.014195070062210633,0.0022753436337028463,0.001776969544578871
2022-03-08,-0.0017754113238832815,-0.006430322413213811,0.0031719771954732013,0.003787411973477854,9.746596266502352e-05,0.0014354849072061608,0.0029468353033726643,0.008337646627329836,-0.0027585827198393625,-0.013692625958100762,0.004497403592872063,-0.008981389928580977,-0.0008817509972076081,0.010767917613564947
2022-03-09,0.0065106930976285005,0.0054342913614190795,-0.000994174061717481,0.003144685089794177,1.0159989270047833e-05,-0.009281503690292042,-0.003121851441760274,-0.0029124955735194136,0.019319916811662827,-0.007447549026218952,0.0034017163790121515,-0.028131144785533267,-0.0032221499541872914,0.01780884545484691
2022-03-10,0.006592961127819217,0.003806996321498555,-0.0035410706748375386,-0.002822659585110478,0.0001844133288480147,-0.0001423863931663802,-0.0002554785434540363,-0.004963229081580963,-0.0001322200749298342,0.0031396197639324513,0.004099585056044538,-0.0028295864721349004,-0.0014043663041559335,-0.0012128428644183065
2022-03-11,-0.002240089103454239,0.0062128907138720175,-0.008843001362818488,0.0004077394766315214,0.000678606145007634,0.0008976909076563299,-0.004885858190053058,0.0025007493631629438,0.004185289644289879,-0.0009308285923546353,-0.0020544244732502758,0.00244316790869524,-0.002434747348169581,0.004579484901252453
2022-03-14,-0.0035029534711808327,-0.0004384906778835129,-0.0013801897350888064,0.00430533347379671,7.79321740713165e-05,-0.0011245005211893467,-0.00200319856273775,0.008001487475509682,0.00845014083414165,-0.0030557438550889503,0.002272844684364848,-0.019852237773000995,-0.00017642810022561645,0.008936904422500157
