ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-26T00:00:00.040787031Z,2026-01-26T00:00:00.040537801Z,1,1,7311,T,B,0,52665.000000000,1,0,13893,1960953,52655.000000000,52665.000000000,1,1,1,1,NIYH6
2026-01-26T00:00:00.041683577Z,2026-01-26T00:00:00.041371811Z,1,1,7311,T,B,0,52675.000000000,3,0,12951,1960981,52660.000000000,52675.000000000,2,3,2,3,NIYH6
2026-01-26T00:00:00.065522298Z,2026-01-26T00:00:00.065193683Z,1,1,7311,T,B,0,52685.000000000,1,0,15258,1961272,52675.000000000,52685.000000000,4,1,3,1,NIYH6
2026-01-26T00:00:00.124987288Z,2026-01-26T00:00:00.124750777Z,1,1,7311,T,A,0,52675.000000000,3,0,12980,1961606,52675.000000000,52685.000000000,3,2,2,2,NIYH6
2026-01-26T00:00:00.339019687Z,2026-01-26T00:00:00.338786779Z,1,1,7311,T,A,0,52665.000000000,1,0,13026,1962240,52665.000000000,52675.000000000,1,3,1,3,NIYH6
2026-01-26T00:00:00.371274050Z,2026-01-26T00:00:00.371020213Z,1,1,7311,T,B,0,52670.000000000,1,0,13331,1962356,52665.000000000,52670.000000000,1,2,1,2,NIYH6
2026-01-26T00:00:00.371358204Z,2026-01-26T00:00:00.371022785Z,1,1,7311,T,B,0,52670.000000000,1,0,13933,1962357,52665.000000000,52670.000000000,1,1,1,1,NIYH6
2026-01-26T00:00:00.421733104Z,2026-01-26T00:00:00.421517215Z,1,1,7311,T,A,0,52665.000000000,1,0,13039,1962522,52665.000000000,52675.000000000,1,2,1,2,NIYH6
2026-01-26T00:00:00.579547418Z,2026-01-26T00:00:00.579338903Z,1,1,7311,T,A,0,52660.000000000,1,0,12817,1963124,52660.000000000,52670.000000000,1,2,1,2,NIYH6
2026-01-26T00:00:00.762557514Z,2026-01-26T00:00:00.762349671Z,1,1,7311,T,A,0,52655.000000000,1,0,13119,1963849,52655.000000000,52665.000000000,1,3,1,3,NIYH6
2026-01-26T00:00:00.958191862Z,2026-01-26T00:00:00.957973179Z,1,1,7311,T,B,0,52660.000000000,1,0,12915,1964215,52650.000000000,52660.000000000,2,1,2,1,NIYH6
2026-01-26T00:00:01.326239827Z,2026-01-26T00:00:01.325980729Z,1,1,7311,T,A,0,52650.000000000,2,0,12704,1965640,52650.000000000,52660.000000000,2,3,2,3,NIYH6
2026-01-26T00:00:01.414971096Z,2026-01-26T00:00:01.414704119Z,1,1,7311,T,A,0,52645.000000000,2,0,12997,1965850,52645.000000000,52660.000000000,6,2,4,2,NIYH6
2026-01-26T00:00:01.653532796Z,2026-01-26T00:00:01.653294707Z,1,1,7311,T,A,0,52660.000000000,1,0,12976,1966578,52660.000000000,52670.000000000,1,3,1,3,NIYH6
2026-01-26T00:00:02.051202297Z,2026-01-26T00:00:02.050928623Z,1,1,7311,T,B,0,52665.000000000,1,0,12712,1967200,52655.000000000,52665.000000000,3,1,3,1,NIYH6
2026-01-26T00:00:02.072394129Z,2026-01-26T00:00:02.072163931Z,1,1,7311,T,A,0,52665.000000000,1,0,12910,1967359,52665.000000000,52675.000000000,1,1,1,1,NIYH6
2026-01-26T00:00:02.161629325Z,2026-01-26T00:00:02.161373379Z,1,1,7311,T,B,0,52670.000000000,1,0,12734,1967795,52660.000000000,52670.000000000,3,1,3,1,NIYH6
2026-01-26T00:00:02.973669822Z,2026-01-26T00:00:02.973437859Z,1,1,7311,T,B,0,52670.000000000,1,0,13275,1969072,52655.000000000,52670.000000000,5,1,5,1,NIYH6
2026-01-26T00:00:03.052113126Z,2026-01-26T00:00:03.051544219Z,1,1,7311,T,B,0,52680.000000000,1,0,12953,1969237,52660.000000000,52680.000000000,4,2,4,2,NIYH6
2026-01-26T00:00:03.196967554Z,2026-01-26T00:00:03.196738569Z,1,1,7311,T,A,0,52670.000000000,1,0,12974,1969745,52670.000000000,52680.000000000,1,2,1,2,NIYH6
2026-01-26T00:00:03.734767768Z,2026-01-26T00:00:03.734526263Z,1,1,7311,T,A,0,52665.000000000,1,0,13129,1971025,52665.000000000,52675.000000000,1,3,1,3,NIYH6
2026-01-26T00:00:03.841206548Z,2026-01-26T00:00:03.840988583Z,1,1,7311,T,A,0,52660.000000000,1,0,13161,1971083,52660.000000000,52670.000000000,1,2,1,2,NIYH6
2026-01-26T00:00:03.995398282Z,2026-01-26T00:00:03.995210949Z,1,1,7311,T,B,0,52665.000000000,1,0,12855,1971225,52655.000000000,52665.000000000,2,1,2,1,NIYH6
2026-01-26T00:00:04.053109316Z,2026-01-26T00:00:04.052865217Z,1,1,7311,T,B,0,52670.000000000,1,0,13076,1971348,52655.000000000,52670.000000000,4,1,4,1,NIYH6
2026-01-26T00:00:04.410250598Z,2026-01-26T00:00:04.410027385Z,1,1,7311,T,A,0,52675.000000000,1,0,12987,1972091,52675.000000000,52685.000000000,1,2,1,2,NIYH6
2026-01-26T00:00:04.755284781Z,2026-01-26T00:00:04.755037303Z,1,1,7311,T,B,0,52690.000000000,1,0,13252,1972831,52680.000000000,52690.000000000,2,1,2,1,NIYH6
2026-01-26T00:00:05.159899997Z,2026-01-26T00:00:05.159639203Z,1,1,7311,T,A,0,52690.000000000,1,0,12855,1973998,52690.000000000,52700.000000000,1,3,1,3,NIYH6
2026-01-26T00:00:06.094256405Z,2026-01-26T00:00:06.093994047Z,1,1,7311,T,B,0,52695.000000000,1,0,13330,1975174,52685.000000000,52695.000000000,1,1,1,1,NIYH6
2026-01-26T00:00:07.371195331Z,2026-01-26T00:00:07.370932023Z,1,1,7311,T,B,0,52700.000000000,1,0,13980,1976054,52685.000000000,52700.000000000,3,1,3,1,NIYH6
