ts_recv,ts_event,rtype,publisher_id,instrument_id,action,side,depth,price,size,flags,ts_in_delta,sequence,bid_px_00,ask_px_00,bid_sz_00,ask_sz_00,bid_ct_00,ask_ct_00,symbol
2026-01-25T23:00:08.778092877Z,2026-01-25T23:00:08.777726157Z,1,1,7311,T,B,0,52255.000000000,1,0,12889,34873,52225.000000000,52255.000000000,3,1,2,1,NIYH6
2026-01-25T23:00:09.060451293Z,2026-01-25T23:00:09.060056415Z,1,1,7311,T,B,0,52260.000000000,1,0,12918,35535,52225.000000000,52260.000000000,3,1,2,1,NIYH6
2026-01-25T23:00:10.406359417Z,2026-01-25T23:00:10.404445919Z,1,1,7311,T,N,0,52260.000000000,1,0,13906,39301,52225.000000000,52260.000000000,4,1,3,1,NIYH6
2026-01-25T23:00:10.406359417Z,2026-01-25T23:00:10.404445919Z,1,1,7311,T,N,0,52265.000000000,1,0,13906,39301,52225.000000000,52260.000000000,4,1,3,1,NIYH6
2026-01-25T23:00:11.434440098Z,2026-01-25T23:00:11.434071369Z,1,1,7311,T,A,0,52235.000000000,1,0,13130,41973,52235.000000000,52250.000000000,4,2,3,2,NIYH6
2026-01-25T23:00:11.523132182Z,2026-01-25T23:00:11.512525159Z,1,1,7311,T,A,0,52235.000000000,1,0,13014,42240,52235.000000000,52245.000000000,3,1,3,1,NIYH6
2026-01-25T23:00:11.525741364Z,2026-01-25T23:00:11.522825745Z,1,1,7311,T,A,0,52235.000000000,1,0,13319,42349,52235.000000000,52245.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:11.526884073Z,2026-01-25T23:00:11.523930715Z,1,1,7311,T,A,0,52235.000000000,1,0,13252,42389,52235.000000000,52245.000000000,1,1,1,1,NIYH6
2026-01-25T23:00:11.528264542Z,2026-01-25T23:00:11.526928891Z,1,1,7311,T,A,0,52235.000000000,1,0,13160,42410,52235.000000000,52245.000000000,1,2,1,2,NIYH6
2026-01-25T23:00:14.040031935Z,2026-01-25T23:00:14.039685867Z,1,1,7311,T,B,0,52240.000000000,1,0,13034,45045,52230.000000000,52240.000000000,2,1,2,1,NIYH6
2026-01-25T23:00:15.479562788Z,2026-01-25T23:00:15.479138445Z,1,1,7311,T,B,0,52270.000000000,1,0,72043,46150,52250.000000000,52270.000000000,3,1,3,1,NIYH6
